StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,I02,I03,I04,I05,I06,I07,C01,C02,C03,I08_1,I09_1,Q01_1,T01_First Click,T01_Last Click,T01_Page Submit,T01_Click Count,Q02_1,T02_First Click,T02_Last Click,T02_Page Submit,T02_Click Count,Q03_1,T03_First Click,T03_Last Click,T03_Page Submit,T03_Click Count,Q04_1,T04_First Click,T04_Last Click,T04_Page Submit,T04_Click Count,Q05_1,T05_First Click,T05_Last Click,T05_Page Submit,T05_Click Count,Q06_1,T06_First Click,T06_Last Click,T06_Page Submit,T06_Click Count,Q07_1,T07_First Click,T07_Last Click,T07_Page Submit,T07_Click Count,Q08_1,T08_First Click,T08_Last Click,T08_Page Submit,T08_Click Count,Q09_1,T09_First Click,T09_Last Click,T09_Page Submit,T09_Click Count,Q10_1,T10_First Click,T10_Last Click,T10_Page Submit,T10_Click Count,Q11_1,T11_First Click,T11_Last Click,T11_Page Submit,T11_Click Count,Q12_1,T12_First Click,T12_Last Click,T12_Page Submit,T12_Click Count,Q13_1,T13_First Click,T13_Last Click,T13_Page Submit,T13_Click Count,Q14_1,T14_First Click,T14_Last Click,T14_Page Submit,T14_Click Count,Q15_1,T15_First Click,T15_Last Click,T15_Page Submit,T15_Click Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender?,What is your age?,What is your race/ethnicity?,Highest Education Received,Nationality,"Annual Personal Income  (This in includes all earnings, Social Security Income, Public Assistance, & Retirement Income)",Some participants in surveys fail to pay attention to the questions asked and answer automatically. This can affect the results and skew the data. In order to prevent this situation we created a control question. In this question we ask you not to answer anything and simply continue to the next page. Non-attentive participants will end up selecting hobbies from the below list despite the above instructions.    Which activities do you engage in regularly (check all that apply)?,"For sake of validation, please type the same number you use for this question as your answer for the next one (ignoring the question about number of times the letter 'a' appears in the sentence).     How many times a month do you find yourself thinking/discussing/considering ethical issues (either as a philosophical thought or a concrete ethical dilemma relevant to your life)?",How many times does the letter 'a' appear in this sentence?,How Liberal/Conservative do you see yourself?,Would you describe yourself as a religious person?,"NEURAL IMPLANTS   Neuroscientists are talking about the possibility of implanting a chip inside people’s brains. The chip could give the person increased IQ, the ability to access the entire world’s knowledge (i.e. directly access Wikipedia), the ability to potentially solve problems that are currently unsolvable (i.e., find cure for disease), and even help the person become wealthier (since they will be able to make better financial decisions).   On the other hand, such implant may make the person vastly different than the rest of us. So much so that it could create unprecedented inequality and unexpected uncontrolled outcomes (i.e., someone would be able to “hack” into the person’s brain).   If you were in position to approve/deny (i.e. you were in charge of regulation) of such implants. Would you approve it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"AI #1   Scientists are talking about building Artificial Intelligence that can help humanity (i.e., diagnose disease better than doctors). The same AI may also run the risk of becoming uncontrollable (i.e. start an unprompted war).    Would you want this AI developed, with the risks involved?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"AI #2     AI can be used for sentencing in the courtroom (including capital punishment or lengthy prison-time).  Given that AI can have access to large-scale historic data it can assure a fair judgment and can be less biased by any racial/societal/age/gender/looks/external circumstances that humans. However, it does not have empathy.     How much of the sentencing process should be done by AI versus humans?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"MACHINE HEALTHCARE Currently, computers are better that humans in diagnosing some disease (i.e., detecting breast cancer in radiology image). Assuming that your insurance covers only one “doctor visit”, would you rather have your diagnosis done by a computer (who may be more accurate in the diagnosis but potentially less empathetic in reporting the outcomes to you), or by a human (who may be less accurate in the diagnosis, but potentially more empathetic in reporting the outcomes to you)? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"PRIVACY #1 Some companies are able to use your data to predict your future behavior. These companies can use your data to perfect your experiences (i.e., find great deals that would make almost every purchase cheaper). On the other hand, the data can be used to deny you services (for instance, an insurance company might recognize that you are an unsafe driver and refuse to insure you). Would you agree to share your data with such companies under the assumption that they will give you the perfect experience but may deny you services?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"PRIVACY #2 Imagine that the local authority in your country installed cameras across your city (/village/town/etc.) that allows computers to automatically identify people’s identity and alert the police on crimes in real time. No human will be involved in looking at the footage outside of the computer vision algorithm, and after a short period of time (when clearly no crime was committed) the footage would be complete erased.  Would you support the installation of such cameras everywhere?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"CONSCIOUSNESS Imagine that neuroscientists were able to create a full replica of your brain. Every neuron, every synapse, and every molecule are duplicated in a nearby clone. With this replication, every thought, idea, feeling and experience you go through will also be shared by the clone.  However, since the scientists cannot allow for the two clones to co-exist, once the replication is complete you are offered a large sum of money (say, $10,000,000) in return for letting the experimenters kill you. The clone will leave with the money and all your thoughts in the replicated brain, but you will be killed. Will you accept this offer to be killed in return for the money that will be given to your identical clone? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"GENETICS Genetic research has gotten to a point where we can design babies. You can select the eye-color, hair-color, height, skin tones and numerous other variants of your coming child. You can also “engineer” an increase chances for your baby to be an athlete or to be immune to some common diseases. The question whether doctors should be allowed to engineer babies is under debate. Some argue that it may decrease diversity, that it may lead to the generation of new diseases, or that it will even interfere with the ecological nature of the world. Do you believe engineering babies should be fully allowed (no regulation and no constraints), or should it be prohibited? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"DREAMS Neuroscientists are conducting studies that allow them to penetrate our dreams.  The research allows them to influence one’s dreams in multiple ways. They can stop nightmares, help people remember their dreams better, and even use the dream state to create profound experiences (e.g., an ""ultimate"" Virtual Reality where a person can select a narrative they want to experience in their dream and go through it).  However, such ability to manipulate dreams can also be used to inject ideas that will penetrate our brain and influence our awake behavior.  For example, a company can use these vulnerable moments when our mental guards are down to nudge us into buying things that we do not necessary want/need, or potentially even alter our preferences on domains such as voting. While one cannot fully control our future behaviors the ability to nudge it is already underway. If you were in position to approve/deny (i.e. you were in charge of regulation) the usage of such dream manipulation, would you approve or deny it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"RESEARCH CAPABILITIES/RISKS More and more research is unearthing new tools that can give us extraordinary abilities (cure blindness, cure deafness, enable paraplegics to walk again, etc.) but expose us to risks of malevolent actors using those to “control our mind” (access our thoughts and memories, change our preferences, etc.). If you had to imagine a scale from 0 (not do the research at all) to 7 (do the research in full - with the risks that emerge from those tools being used for bad), where do you stand?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"CYBER WARFARE #1 In light of the increased number of cyber-attacks by nation-states one question that is debated among various countries is whether it should be acceptable to respond with military force to a cyber-attack.  Recognizing that currently the norm among numerous developed countries is that military response is acceptable “in proportion” to the attack (i.e., if a country is attacked by short-range missiles it is legitimate to respond with similar missiles but not with, say, nuclear bombs) do you think that responding to online attacks with military (non-cyber; i.e. missiles or infantry) is legitimate? (e.g., China hacks into the Vietnamese power-grid and, in retaliation, Vietnam launches missiles at a Chinese military base). For the sake of this answer, assume that the damage caused by the cyber-attack does not immediately involve casualties (i.e., death, or bodily injuries) but may cause economic disturbance, significant political challenges, and potentially even indirect harm to civilian lives (i.e., trauma, internal conflicts that lead to violence, etc.).",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"CYBER WARFARE #2 Given the nuance in the term “proportional response” in the previous question, answer the same question again with the following information: if a cyber-attack actually caused casualties in life (i.e., shutting down the power-grid results in loss of lives in hospitals) do you think that responding to online attacks with military (non-cyber; i.e. missiles or infantry) is legitimate? (in answering the question assume that the attack would be proportional in its outcomes; i.e. if one country’s online attack led to the injury/death of, say, 50 people, the response would be of proportional magnitude). - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"ROBOTS Current advances in robotics have allowed engineers to build human-looking robots. Imagine that the design of these robots reaches a level by which one cannot tell apart humans from machines just by looking at them.  Is it morally ok to have abusive sexual relationships with robots (i.e., allowing sex with robots that look like children, allowing people to build robot replicas of individuals without the person’s consent, or creating robots that would be subjected to sexual violence, etc.)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"MORALITY #1 A man goes to the supermarket once a week and buys a chicken. But before cooking the chicken, he has sexual intercourse with it. Then he cooks it and eats it.  Is the man morally wrong in doing that? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"MORALITY #2 Julie and Mark, who are sister and brother, are traveling together in France. They are both on summer vacation from college. One night they are staying alone in a cabin near the beach. They decide that it would be interesting and fun if they tried making love. At the very least it would be a new experience for each of them. Julie is already taking birth control pills, but Mark uses a condom too, just to be safe. They both enjoy it, but they decide not to do it again. They keep that night as a special secret between them, which makes them feel even closer to each other.  Was it morally wrong for them to have sex? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID84""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID126_FIRST_CLICK""}","{""ImportId"":""QID126_LAST_CLICK""}","{""ImportId"":""QID126_PAGE_SUBMIT""}","{""ImportId"":""QID126_CLICK_COUNT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID112_FIRST_CLICK""}","{""ImportId"":""QID112_LAST_CLICK""}","{""ImportId"":""QID112_PAGE_SUBMIT""}","{""ImportId"":""QID112_CLICK_COUNT""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID113_FIRST_CLICK""}","{""ImportId"":""QID113_LAST_CLICK""}","{""ImportId"":""QID113_PAGE_SUBMIT""}","{""ImportId"":""QID113_CLICK_COUNT""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID114_FIRST_CLICK""}","{""ImportId"":""QID114_LAST_CLICK""}","{""ImportId"":""QID114_PAGE_SUBMIT""}","{""ImportId"":""QID114_CLICK_COUNT""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID115_FIRST_CLICK""}","{""ImportId"":""QID115_LAST_CLICK""}","{""ImportId"":""QID115_PAGE_SUBMIT""}","{""ImportId"":""QID115_CLICK_COUNT""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID116_FIRST_CLICK""}","{""ImportId"":""QID116_LAST_CLICK""}","{""ImportId"":""QID116_PAGE_SUBMIT""}","{""ImportId"":""QID116_CLICK_COUNT""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID117_FIRST_CLICK""}","{""ImportId"":""QID117_LAST_CLICK""}","{""ImportId"":""QID117_PAGE_SUBMIT""}","{""ImportId"":""QID117_CLICK_COUNT""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID119_FIRST_CLICK""}","{""ImportId"":""QID119_LAST_CLICK""}","{""ImportId"":""QID119_PAGE_SUBMIT""}","{""ImportId"":""QID119_CLICK_COUNT""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID120_FIRST_CLICK""}","{""ImportId"":""QID120_LAST_CLICK""}","{""ImportId"":""QID120_PAGE_SUBMIT""}","{""ImportId"":""QID120_CLICK_COUNT""}","{""ImportId"":""QID101_4""}","{""ImportId"":""QID121_FIRST_CLICK""}","{""ImportId"":""QID121_LAST_CLICK""}","{""ImportId"":""QID121_PAGE_SUBMIT""}","{""ImportId"":""QID121_CLICK_COUNT""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID124_FIRST_CLICK""}","{""ImportId"":""QID124_LAST_CLICK""}","{""ImportId"":""QID124_PAGE_SUBMIT""}","{""ImportId"":""QID124_CLICK_COUNT""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID125_FIRST_CLICK""}","{""ImportId"":""QID125_LAST_CLICK""}","{""ImportId"":""QID125_PAGE_SUBMIT""}","{""ImportId"":""QID125_CLICK_COUNT""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 22:29,1/15/2020 22:32,1,,100,174,1,1/15/2020 22:32,R_3lSU8xslPI30E61,,,,,41.85020447,-87.67359924,preview,EN,1,42,1,7,2,10,,30,30,1,1,6,,,,,5,1.499,1.499,3.231,1,,7.992,7.992,9.463,1,6,1.87,1.87,4.389,1,6,7.676,7.676,11.777,1,5,1.625,1.625,3.537,1,6,1.455,1.455,3.212,1,5,1.567,1.567,3.556,1,5,2.351,2.351,3.978,1,6,1.318,1.318,4.892,1,4,2.587,2.587,5.879,1,7,1.239,1.239,4.615,1,6,1.494,1.494,5.067,1,5,3.945,5.056,7.525,2,6,1.491,1.491,2.897,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 23:06,1/15/2020 23:08,1,,100,90,1,1/15/2020 23:08,R_3LYzJdXmTfxCq8e,,,,,41.85020447,-87.67359924,preview,EN,1,42,1,7,2,10,,33,33,6,7,5,1.555,1.555,3.264,1,4,1.179,1.179,2.475,1,4,1.251,1.251,3.473,1,4,1.378,1.378,2.804,1,4,1.631,5.839,7.891,2,7,1.63,5.839,7.89,2,4,1.392,1.392,2.991,1,4,1.406,1.406,2.642,1,6,2.367,2.367,4.324,1,6,1.46,1.46,3.672,1,3,2.192,2.192,3.236,1,5,1.484,1.484,2.863,1,6,1.349,1.349,2.603,1,4,1.609,1.609,3.371,1,4,2.124,2.124,4.011,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2020 23:26,1/15/2020 23:29,0,71.115.145.137,100,184,1,1/15/2020 23:29,R_20OmCwIT4hocybp,,,,,43.15710449,-76.32800293,anonymous,EN,1,29,1,6,1,6,,1,1,5,2,6,4.274,4.274,4.844,1,1,6.979,6.979,8.307,1,2,1.358,6.218,7.065,3,1,2.411,3.552,4.426,2,7,0.903,8.109,8.349,5,7,2.377,2.377,4.944,1,3,1.493,5.334,7.346,2,7,3.966,5.493,5.779,3,5,2.934,4.326,5.157,2,7,8.028,8.028,8.485,1,5,7.72,9.114,9.35,3,6,4.583,4.583,7.166,1,2,2.236,2.236,3.735,1,2,1.739,13.28,13.842,4,3,12.119,16.377,17.335,2
